Time; UserTime; User; Text; Sentiment; Candidate; Place; Latitude; Longitude;
2015-12-14 22:51:35; Mirada franca + Frases cortas y positivas, claves de la atencin y retencin del escuchantes... Dnde estn? #CaraACara; Mar Castro; neutral; Ninguno; Lugo, Galicia; 43.0396042; -7.45660706651; 
2015-12-14 22:51:00; Han plantejat el debat per vncer l'oponent, no per convncer l'audincia... #caraacara #CaraACaraL6; Cristina Salvador; neutral; Ninguno; Barcelona, Catalonia; 41.3825596; 2.1771353; 
2015-12-14 22:50:58; Creo que Mariano Rajoy ha ganado el #CaraACara #ELPAS20D #PP https://t.co/CHOoYJjj7D; adriana catena; neutral; Mariano Rajoy; Lisbon, Portugal; 38.7130574; -9.1380056; 
2015-12-14 22:50:57; Creo que Mariano Rajoy ha ganado el #CaraACara #ELPAS20D #PP https://t.co/GdoWaCOd38; Noelia Mochales; neutral; Mariano Rajoy; Majadahonda, Comunidad de Madrid; 40.473055; -3.8724138; 
2015-12-14 22:50:53; Esto es mierda #CaraACara; nothing; neutral; Ninguno; Denia, Valencia; 38.8408382; 0.1061105; 
2015-12-14 22:50:51; .@ElHuffPost #CaraACara Mariano ordena a tu M AA.EE repatriar de Gaza a #Jaldia Abu Braka candidata senado UP - IU antes de iros a casa; Unidad Popular; neutral; Mariano Rajoy; Zaragoza, Aragon; 41.6521342; -0.8809428; 
2015-12-14 22:49:42; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/i5q4Yyrqr2; Miguel Angel Toscano; neutral; Pedro Sanchez; Seville, Andalusia; 37.3886303; -5.9953171; 
2015-12-14 22:49:22; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/6bbUHjJycD; Rosa Perez Barbero; neutral; Pedro Sanchez; Calella, Catalunya; 41.6132925; 2.6576102; 
2015-12-14 22:48:50; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/KPSIrY0pNy; Manuel Gallardo; neutral; Pedro Sanchez; Siruela, Extremadura; 38.9775564; -5.0491971; 
2015-12-14 22:48:20; Ms coazo no puede ser el #CaraAcara oggg que pesados.; Sr.Vallejo; neutral; Ninguno; Getafe, Comunidad de Madrid; 40.3081807; -3.7302679; 
2015-12-14 22:48:18; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/6gVV8wAgQt; maribel casalderrey ; neutral; Pedro Sanchez; Vigo, Galicia; 42.2376602; -8.7247205; 
2015-12-14 22:47:35; Creo que Mariano Rajoy ha ganado el #CaraACara #ELPAS20D #PP https://t.co/ZQxbVrWHvd; sara; neutral; Mariano Rajoy; Valencia, Spain; 39.6819591; -0.7654406; 
2015-12-14 22:46:42; Ver el #CaraACara es como ver a dos tontos pelendose por ver quien la tiene ms grande.; Eviterno; neutral; Ninguno; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 22:46:19; Si Sanchez carga un poco ms con los sueldos, sobresueldos y comisiones mata y elimina a ese seor mayor que balbucea tanto... #caraACara; Jose Martret; neutral; Pedro Sanchez; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 22:45:05; #CaraACara Debate con pocas luces de dos iluminados... https://t.co/MySwiB6t45; RebecaGR; neutral; Ninguno; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 22:43:25; El escenario del #7DElDebateDecisivo era una tortura para los candidatos pero lo prefiero a la mesa del #CaraACara Ni tanto, ni tan poco...; Mar Castro; neutral; Ninguno; Lugo, Galicia; 43.0396042; -7.45660706651; 
2015-12-14 22:43:08; Me pongo @Fiebre_Maldini, donde va a parar,mucho mejor que el #CaraACara; L.J.Lopez Casero; neutral; Ninguno; Tomelloso, Castilla-La Mancha; 39.1590075; -3.0215098; 
2015-12-14 22:42:38; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/E1jr2jkKaL Pero lo han perdido ambos! #CaraACaraL6 ; Antonio Casals; neutral; Pedro Sanchez; Sant Boi de Llobregat, Catalunya; 41.3361185; 2.0428507; 
